"Source","Remove Block Comment","Ctrl+Shift+\","Editing JavaScript Source"
"Source","Organize Imports","Ctrl+Shift+O","JavaScript View"
"File","New","Ctrl+N","In Windows"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Web Page Editor Layout","Source Code","Ctrl+Shift+F12","Using Web Page Editor"
"File","Save","Ctrl+S","In Windows"
"Database Tools","Goto Matching Token","Ctrl+Shift+P","Editing SQL"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Search","Spring Beans References Search","Ctrl+Shift+G","Editing in Structured Text Editors"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"File","Close","Ctrl+W","In Windows"
"SVN","URL...","Ctrl+Alt+R","In Windows"
"Terminal view commands","Terminal view insert","Alt+V","Terminal Typing Connected"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing JavaScript Source"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Project","Build All","Ctrl+B","In Windows"
"Edit","Delete","Delete","In Windows"
"Terminal view commands","Terminal view insert","Alt+N","Terminal Typing Connected"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Run/Debug","Run Gradle Test","Ctrl+Alt+X, G","In Windows"
"Navigate","Next Page","Ctrl+F5","Using Web Page Editor"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing JavaScript Source"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"YEdit","Format","Ctrl+Shift+F","YEdit editor context"
"Run/Debug","Debug Android Application","Alt+Shift+A, D","In Windows"
"File","Save All","Ctrl+Shift+S","In Windows"
"Navigate","Previous Page","Ctrl+Shift+F5","Using Web Page Editor"
"C/C++ Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"SQL Results View","Terminate Result","Ctrl+Break","In Windows"
"C/C++ Source","Surround With Quick Menu","Alt+Shift+Z","C/C++ Editor"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"C/C++ Source","Show outline","Ctrl+O","C/C++ Editor"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing JavaScript Source"
"Database Tools","Execute Current Text","Alt+S","Editing SQL"
"Run/Debug","Run XSLT Transformation","Alt+Shift+X, X","In Windows"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Database Tools","Execute Selected Text","Alt+X","Editing SQL"
"Edit","Select Next C/C++ Element","Alt+Shift+Right","C/C++ Editor"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Source","Toggle Comment","Ctrl+Shift+C","Editing JavaScript Source"
"Run/Debug","Coverage","Ctrl+Shift+F11","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Run/Debug","Debug","F11","In Windows"
"SVN","Show Annotation...","Ctrl+Alt+A","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"C/C++ Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"C/C++ Source","Add Include","Ctrl+Shift+N","C/C++ Editor"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"C/C++ Source","Indent Line","Ctrl+I","C/C++ Editor"
"C/C++ Source","Toggle Mark Occurrences","Alt+Shift+O","C/C++ Editor"
"Web Page Editor Layout","Vertical Layout","Ctrl+Shift+F9","Using Web Page Editor"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
